Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,CarbonEmission
normal,male,omnivore,less frequently,wood,public,,108,never,109,extra large,1,1,8,21,1055
normal,female,pescatarian,more frequently,wood,walk/bicycle,,74,very frequently,43,medium,3,3,4,11,1803
overweight,male,omnivore,more frequently,wood,walk/bicycle,,212,very frequently,58,small,1,23,48,14,3235
underweight,male,omnivore,less frequently,wood,walk/bicycle,,192,rarely,30,small,2,6,47,13,1598
obese,female,omnivore,daily,natural gas,public,,175,very frequently,1726,large,1,3,13,14,2631
overweight,female,pescatarian,twice a day,coal,public,,268,very frequently,841,large,3,15,3,18,2554
underweight,female,pescatarian,twice a day,natural gas,walk/bicycle,,77,never,7,medium,7,11,22,13,1153
overweight,male,vegan,daily,electricity,walk/bicycle,,56,never,17,extra large,5,22,49,20,2161
overweight,female,vegetarian,daily,wood,public,,193,frequently,990,small,7,13,15,12,1788
underweight,female,omnivore,more frequently,electricity,public,,220,never,1155,large,2,10,23,8,985
obese,male,omnivore,more frequently,electricity,walk/bicycle,,104,frequently,16,medium,2,18,9,16,1760
underweight,female,vegan,daily,natural gas,public,,53,very frequently,886,medium,5,23,47,2,2278
underweight,female,vegan,twice a day,coal,walk/bicycle,,204,very frequently,44,extra large,6,5,3,17,2375
overweight,male,vegan,twice a day,wood,walk/bicycle,,129,frequently,99,small,5,20,29,6,1900
overweight,male,vegetarian,less frequently,natural gas,walk/bicycle,,291,frequently,20,extra large,6,23,23,18,2649
obese,male,pescatarian,more frequently,natural gas,walk/bicycle,,259,never,67,medium,4,18,9,23,1552
underweight,female,pescatarian,twice a day,natural gas,public,,285,frequently,1054,large,6,0,36,18,2322
overweight,male,omnivore,daily,coal,private,diesel,294,very frequently,2299,large,6,8,35,8,4281
overweight,male,pescatarian,less frequently,coal,public,,214,very frequently,69,extra large,1,5,17,14,2848
normal,male,pescatarian,more frequently,electricity,public,,270,very frequently,1611,small,4,5,33,2,2565
normal,male,pescatarian,twice a day,electricity,public,,158,rarely,1787,small,6,11,7,3,716
obese,female,vegetarian,more frequently,electricity,private,hybrid,237,frequently,1958,large,5,7,46,11,2788
normal,female,pescatarian,more frequently,wood,walk/bicycle,,184,very frequently,96,extra large,2,16,30,12,2125
overweight,female,vegetarian,less frequently,electricity,private,hybrid,209,rarely,2763,large,1,0,24,11,1504
overweight,male,vegetarian,twice a day,wood,public,,199,frequently,209,large,4,2,7,23,1810
underweight,male,omnivore,twice a day,wood,private,hybrid,117,frequently,2826,medium,5,0,1,22,2134
underweight,male,omnivore,daily,electricity,public,,147,never,1227,small,2,9,30,23,1034
underweight,male,vegan,daily,natural gas,walk/bicycle,,153,very frequently,12,small,2,23,21,10,2221
obese,male,vegan,less frequently,natural gas,private,electric,193,frequently,729,large,6,21,4,24,2487
normal,female,pescatarian,more frequently,coal,public,,263,never,1224,extra large,5,1,4,5,1523
obese,male,vegan,more frequently,electricity,walk/bicycle,,232,frequently,43,large,6,1,3,14,1944
overweight,male,omnivore,daily,electricity,public,,126,never,1537,extra large,3,14,47,0,1463
overweight,male,pescatarian,twice a day,wood,private,diesel,291,very frequently,4617,small,1,4,36,19,4443
obese,female,omnivore,twice a day,coal,public,,106,very frequently,976,extra large,4,6,17,15,3260
obese,male,omnivore,daily,coal,public,,228,very frequently,629,small,6,8,46,19,3997
obese,female,vegan,less frequently,electricity,walk/bicycle,,132,rarely,70,extra large,2,9,43,7,1461
overweight,female,vegan,more frequently,electricity,walk/bicycle,,116,never,84,large,3,8,24,9,916
obese,female,pescatarian,more frequently,wood,private,diesel,291,frequently,8574,extra large,5,19,22,15,4595
underweight,male,vegan,less frequently,wood,walk/bicycle,,250,frequently,54,large,5,17,0,12,1703
overweight,male,vegetarian,more frequently,wood,walk/bicycle,,190,never,21,extra large,4,15,42,12,2213
underweight,female,vegetarian,twice a day,coal,private,electric,170,rarely,8184,small,4,9,40,22,1492
underweight,male,omnivore,more frequently,wood,public,,241,frequently,1678,extra large,2,10,38,21,2323
obese,female,omnivore,more frequently,electricity,public,,238,frequently,1420,large,5,13,26,2,2270
underweight,male,pescatarian,less frequently,wood,private,petrol,234,very frequently,2827,medium,7,5,22,24,3939
normal,male,vegan,less frequently,wood,private,petrol,92,frequently,1930,small,1,21,43,7,2741
normal,female,vegan,daily,wood,walk/bicycle,,185,very frequently,9,extra large,6,18,29,23,2647
overweight,female,pescatarian,less frequently,natural gas,walk/bicycle,,206,rarely,47,extra large,1,1,16,15,993
obese,female,pescatarian,less frequently,coal,walk/bicycle,,62,frequently,76,extra large,4,10,5,7,2001
overweight,female,omnivore,less frequently,wood,public,,75,very frequently,1541,medium,2,7,10,6,1952
overweight,female,vegan,more frequently,electricity,walk/bicycle,,178,frequently,17,small,2,20,10,0,1084
normal,male,vegan,daily,coal,public,,229,very frequently,1270,large,3,18,1,23,2297
normal,male,omnivore,less frequently,natural gas,public,,162,frequently,457,extra large,3,12,34,2,2021
normal,male,pescatarian,more frequently,electricity,walk/bicycle,,199,frequently,25,medium,6,22,41,9,2180
normal,female,pescatarian,less frequently,natural gas,public,,178,frequently,243,extra large,4,0,9,2,1583
underweight,female,omnivore,daily,natural gas,walk/bicycle,,192,frequently,47,small,2,19,29,14,1549
underweight,male,vegan,daily,electricity,public,,113,frequently,1482,large,3,11,33,19,1616
underweight,female,omnivore,twice a day,electricity,private,hybrid,197,rarely,5853,small,2,7,11,0,1705
obese,female,omnivore,less frequently,electricity,private,lpg,116,frequently,9684,extra large,5,13,30,1,4839
obese,female,omnivore,twice a day,coal,public,,267,rarely,1115,small,7,12,23,15,2207
overweight,male,vegan,less frequently,natural gas,private,electric,144,very frequently,5859,large,2,2,3,4,2624
overweight,male,pescatarian,less frequently,natural gas,private,petrol,52,frequently,4832,large,7,11,0,2,3798
obese,male,pescatarian,more frequently,wood,public,,229,rarely,239,small,3,8,44,5,1648
obese,male,vegetarian,twice a day,electricity,private,lpg,82,rarely,2130,extra large,5,8,33,19,2999
normal,male,pescatarian,twice a day,electricity,private,hybrid,94,never,1306,small,5,15,15,0,940
underweight,female,omnivore,daily,natural gas,public,,109,frequently,1644,extra large,5,15,15,10,2137
underweight,male,pescatarian,daily,natural gas,walk/bicycle,,226,frequently,89,small,6,15,48,6,1927
underweight,male,omnivore,twice a day,wood,private,electric,179,very frequently,7671,medium,2,23,26,15,2738
overweight,male,vegetarian,daily,natural gas,walk/bicycle,,84,rarely,38,medium,6,4,8,4,1364
obese,male,omnivore,more frequently,coal,private,lpg,181,very frequently,922,medium,4,11,43,22,4421
obese,female,vegetarian,less frequently,electricity,public,,156,never,176,extra large,5,2,45,7,1405
underweight,male,vegetarian,daily,natural gas,public,,294,frequently,1692,extra large,4,22,40,3,2522
normal,male,vegan,less frequently,wood,private,diesel,57,very frequently,9787,medium,4,21,45,22,5773
underweight,female,vegan,twice a day,wood,private,petrol,252,frequently,7324,extra large,2,3,40,14,3840
obese,female,vegetarian,less frequently,natural gas,public,,246,never,1103,large,7,23,22,23,1931
underweight,male,omnivore,daily,electricity,walk/bicycle,,183,very frequently,98,medium,4,6,24,20,2382
overweight,female,omnivore,more frequently,electricity,public,,279,never,428,small,1,22,19,19,1127
overweight,male,vegetarian,more frequently,natural gas,public,,196,very frequently,891,medium,7,12,10,13,3280
normal,female,pescatarian,twice a day,natural gas,private,hybrid,234,never,6486,large,2,23,41,4,2229
overweight,male,vegetarian,more frequently,electricity,public,,287,frequently,1556,extra large,2,9,38,17,2494
obese,male,vegan,less frequently,wood,walk/bicycle,,295,rarely,97,small,4,1,36,3,1894
normal,female,vegan,more frequently,coal,private,petrol,57,frequently,1504,medium,4,8,47,21,2650
underweight,female,pescatarian,more frequently,coal,public,,93,never,142,large,4,22,37,4,1370
overweight,male,vegan,less frequently,electricity,private,hybrid,98,never,9541,large,3,23,2,17,2492
normal,female,vegetarian,twice a day,coal,private,diesel,178,never,9719,extra large,1,9,36,3,3353
overweight,male,vegetarian,less frequently,coal,public,,213,frequently,1402,large,4,19,5,23,2303
obese,male,vegan,less frequently,electricity,walk/bicycle,,250,frequently,39,extra large,1,20,38,16,2150
normal,male,pescatarian,more frequently,wood,walk/bicycle,,74,very frequently,9,small,1,20,31,8,2743
obese,female,omnivore,twice a day,electricity,public,,176,very frequently,1886,large,5,7,34,20,3153
obese,male,vegan,more frequently,wood,public,,286,very frequently,1575,small,3,7,41,21,3560
overweight,female,pescatarian,more frequently,electricity,private,diesel,162,never,5067,medium,7,0,26,14,2342
obese,male,pescatarian,more frequently,natural gas,private,electric,153,never,2614,extra large,5,19,26,6,2152
obese,male,omnivore,less frequently,coal,public,,229,very frequently,109,large,6,16,10,0,3725
underweight,male,pescatarian,daily,natural gas,walk/bicycle,,180,frequently,21,medium,7,7,15,15,1885
overweight,female,vegetarian,twice a day,electricity,public,,96,frequently,492,small,2,6,18,1,1252
overweight,female,vegan,less frequently,coal,public,,126,very frequently,358,small,6,4,24,22,2535
overweight,female,vegan,more frequently,coal,walk/bicycle,,228,never,10,small,5,8,40,23,1634
normal,male,vegan,twice a day,wood,public,,221,very frequently,1312,large,7,5,36,4,3402
overweight,female,omnivore,twice a day,wood,walk/bicycle,,256,very frequently,43,small,6,13,7,18,2501
normal,male,omnivore,daily,natural gas,public,,226,frequently,961,large,3,7,7,23,2283
normal,female,omnivore,less frequently,wood,private,lpg,178,frequently,3981,medium,3,2,29,5,2863
overweight,male,vegan,twice a day,wood,public,,282,frequently,527,small,3,0,39,24,2335
underweight,male,pescatarian,more frequently,wood,walk/bicycle,,189,frequently,53,small,4,14,23,16,1715
obese,female,vegan,less frequently,natural gas,walk/bicycle,,168,never,63,extra large,6,8,47,1,1827
underweight,male,pescatarian,twice a day,wood,public,,260,frequently,259,small,2,5,2,12,1224
obese,male,pescatarian,daily,wood,private,hybrid,142,never,9252,large,1,16,19,5,3011
obese,female,vegan,less frequently,wood,walk/bicycle,,74,frequently,92,large,6,11,33,5,2048
underweight,female,pescatarian,twice a day,coal,private,hybrid,226,never,9954,medium,6,1,24,17,2970
normal,male,vegetarian,less frequently,electricity,public,,271,never,1552,medium,6,15,16,1,866
overweight,male,vegan,twice a day,natural gas,private,electric,54,rarely,9794,medium,7,21,15,21,1723
overweight,female,omnivore,more frequently,natural gas,private,hybrid,214,frequently,4105,large,5,3,7,4,2590
overweight,female,vegetarian,daily,electricity,walk/bicycle,,100,never,44,extra large,4,15,26,6,1088
underweight,male,vegan,more frequently,natural gas,private,hybrid,203,frequently,8507,large,2,18,45,16,3335
normal,female,vegan,more frequently,natural gas,walk/bicycle,,154,very frequently,92,large,1,18,27,5,1969
normal,male,omnivore,less frequently,coal,private,petrol,67,never,3171,small,5,0,33,0,2375
underweight,female,pescatarian,less frequently,natural gas,private,petrol,191,very frequently,7175,small,3,0,5,2,3852
obese,male,vegan,more frequently,coal,public,,115,frequently,1341,extra large,2,17,7,19,2664
normal,female,pescatarian,less frequently,coal,walk/bicycle,,164,never,72,medium,2,7,32,23,1343
underweight,female,omnivore,twice a day,electricity,walk/bicycle,,65,frequently,86,medium,5,21,27,23,1399
underweight,female,pescatarian,less frequently,wood,walk/bicycle,,88,rarely,14,extra large,3,20,5,2,1051
normal,male,omnivore,twice a day,coal,public,,223,rarely,1624,medium,4,6,39,5,2210
underweight,male,vegetarian,less frequently,electricity,private,lpg,225,rarely,8625,small,3,18,37,22,3195
underweight,male,vegan,less frequently,coal,public,,225,never,1631,extra large,1,10,38,21,1605
overweight,male,pescatarian,less frequently,natural gas,public,,177,rarely,1973,small,5,9,41,3,1742
underweight,male,vegetarian,more frequently,electricity,private,diesel,92,frequently,8367,medium,7,19,38,3,3926
obese,female,omnivore,less frequently,electricity,public,,161,rarely,1553,extra large,1,0,22,22,1313
underweight,female,vegan,less frequently,coal,public,,185,frequently,377,medium,1,10,8,17,1392
underweight,female,pescatarian,less frequently,coal,public,,294,frequently,1664,small,4,11,45,3,2238
underweight,female,vegetarian,more frequently,coal,walk/bicycle,,222,never,38,large,7,4,36,8,1652
normal,male,vegan,daily,wood,public,,197,rarely,1631,medium,6,6,32,19,1760
normal,male,vegan,twice a day,wood,private,lpg,130,never,6363,small,6,17,47,20,3317
normal,male,pescatarian,daily,wood,private,electric,149,frequently,485,large,5,8,1,14,1889
overweight,female,vegan,more frequently,wood,public,,276,rarely,1527,extra large,3,15,24,12,1580
overweight,female,vegan,more frequently,natural gas,public,,94,rarely,766,extra large,2,6,4,12,865
overweight,female,pescatarian,more frequently,natural gas,public,,216,very frequently,1385,extra large,4,1,21,10,2880
overweight,female,pescatarian,more frequently,electricity,public,,81,never,1002,medium,6,11,40,4,1171
obese,female,pescatarian,less frequently,wood,walk/bicycle,,269,frequently,88,extra large,5,23,34,22,3037
normal,male,omnivore,daily,electricity,public,,123,frequently,1034,large,6,15,14,1,1835
underweight,male,vegetarian,less frequently,electricity,public,,227,never,1879,medium,4,3,31,8,1291
normal,male,pescatarian,daily,natural gas,walk/bicycle,,273,never,0,small,5,7,49,11,1535
underweight,male,vegetarian,more frequently,wood,walk/bicycle,,188,frequently,68,small,2,2,39,9,1790
overweight,female,pescatarian,daily,natural gas,walk/bicycle,,129,rarely,69,large,1,11,3,5,997
obese,male,vegan,daily,wood,private,electric,126,very frequently,2321,extra large,5,8,16,13,3289
overweight,female,omnivore,daily,coal,public,,279,rarely,1952,medium,1,19,48,12,1881
underweight,male,pescatarian,twice a day,electricity,walk/bicycle,,85,never,24,extra large,4,0,7,16,1067
overweight,male,vegan,daily,electricity,walk/bicycle,,223,very frequently,76,small,6,21,8,23,2254
normal,male,vegan,more frequently,wood,private,hybrid,213,never,3653,large,2,11,21,7,1552
overweight,female,vegan,twice a day,electricity,private,petrol,105,rarely,7745,medium,7,12,48,7,4022
obese,male,vegetarian,daily,electricity,private,hybrid,109,very frequently,1726,extra large,1,14,16,24,3237
overweight,male,vegan,daily,wood,walk/bicycle,,165,very frequently,29,small,2,4,20,18,2530
obese,male,omnivore,daily,electricity,private,diesel,204,very frequently,8360,small,2,0,12,2,5691
overweight,female,vegan,more frequently,natural gas,walk/bicycle,,183,frequently,72,small,2,5,26,5,1448
overweight,female,omnivore,more frequently,natural gas,private,lpg,232,very frequently,2202,small,5,11,29,4,3341
obese,male,omnivore,less frequently,natural gas,public,,88,rarely,1960,small,4,14,32,8,1702
overweight,male,pescatarian,daily,coal,public,,126,frequently,1595,small,1,4,7,0,1956
obese,female,pescatarian,twice a day,natural gas,walk/bicycle,,239,never,84,small,3,15,20,21,1490
overweight,male,pescatarian,less frequently,electricity,private,hybrid,210,never,4420,medium,4,14,24,5,2083
overweight,female,omnivore,daily,wood,private,hybrid,171,very frequently,6094,medium,4,3,31,8,3739
normal,female,vegan,daily,wood,private,lpg,116,very frequently,6713,small,5,21,36,14,3820
underweight,female,vegan,less frequently,coal,private,diesel,92,rarely,2027,small,6,10,4,8,1311
overweight,female,omnivore,more frequently,electricity,private,diesel,139,very frequently,7319,extra large,1,15,39,7,4195
underweight,male,vegetarian,less frequently,natural gas,public,,209,very frequently,1317,large,4,22,4,20,2561
obese,male,vegetarian,more frequently,wood,walk/bicycle,,296,very frequently,5,extra large,5,4,32,11,4089
underweight,female,pescatarian,more frequently,coal,private,electric,209,never,6528,extra large,6,8,24,22,1858
underweight,female,vegan,daily,wood,walk/bicycle,,68,rarely,48,extra large,7,22,21,13,1382
overweight,male,pescatarian,less frequently,natural gas,walk/bicycle,,62,never,44,large,1,18,6,15,925
normal,male,omnivore,daily,electricity,private,petrol,213,never,7782,medium,5,6,25,21,4394
obese,female,pescatarian,twice a day,wood,private,petrol,262,never,6172,large,6,18,43,10,4478
normal,female,pescatarian,less frequently,wood,walk/bicycle,,281,never,66,extra large,2,22,13,12,1065
obese,female,omnivore,twice a day,natural gas,private,petrol,239,never,8414,extra large,3,16,0,6,4833
underweight,female,vegan,daily,electricity,public,,59,never,613,large,2,19,38,10,819
normal,male,omnivore,less frequently,coal,walk/bicycle,,120,rarely,75,medium,1,3,8,0,1330
underweight,male,vegan,twice a day,coal,private,hybrid,272,never,8961,extra large,6,20,35,17,3669
normal,male,omnivore,twice a day,electricity,public,,222,never,1356,small,3,14,39,0,1312
obese,male,vegetarian,daily,coal,public,,130,very frequently,1131,small,3,9,10,20,3074
normal,male,omnivore,daily,coal,walk/bicycle,,194,frequently,81,medium,5,23,6,12,2135
normal,male,vegan,daily,electricity,public,,84,frequently,1522,extra large,7,20,3,11,1865
normal,male,omnivore,less frequently,natural gas,public,,283,very frequently,1943,medium,4,16,9,3,2467
overweight,female,omnivore,less frequently,electricity,private,hybrid,255,never,7416,large,7,1,31,3,2648
underweight,male,vegan,more frequently,wood,private,diesel,58,very frequently,1275,extra large,5,13,11,12,2817
underweight,male,vegan,more frequently,wood,walk/bicycle,,149,rarely,69,large,2,21,43,9,1776
underweight,male,vegan,daily,natural gas,walk/bicycle,,55,rarely,64,medium,3,11,31,23,1276
overweight,male,vegan,less frequently,coal,private,diesel,85,rarely,3471,large,2,15,26,20,2966
obese,female,omnivore,less frequently,coal,private,petrol,276,never,5557,medium,3,10,45,10,4237
underweight,female,omnivore,twice a day,wood,public,,283,very frequently,237,large,4,7,50,10,2610
overweight,male,vegetarian,daily,coal,walk/bicycle,,74,never,17,medium,6,1,20,17,1440
obese,female,pescatarian,more frequently,electricity,walk/bicycle,,129,rarely,1,large,4,12,44,3,1600
normal,female,vegetarian,more frequently,coal,walk/bicycle,,230,rarely,75,small,4,16,32,1,1490
obese,female,vegan,twice a day,coal,public,,256,rarely,448,extra large,3,10,11,11,1741
overweight,female,pescatarian,daily,coal,walk/bicycle,,179,rarely,26,medium,2,8,30,23,1520
overweight,male,vegan,daily,coal,walk/bicycle,,209,rarely,12,extra large,2,10,11,5,1508
overweight,male,pescatarian,daily,electricity,public,,252,very frequently,1461,medium,5,21,20,5,2599
underweight,female,pescatarian,twice a day,wood,public,,208,rarely,1818,medium,6,14,18,17,1444
overweight,male,pescatarian,more frequently,electricity,walk/bicycle,,271,rarely,6,medium,3,5,49,16,1916
overweight,male,omnivore,more frequently,coal,public,,130,rarely,1987,medium,3,17,50,20,2603
overweight,female,vegetarian,twice a day,natural gas,private,diesel,272,rarely,6568,large,4,17,30,4,3187
overweight,male,vegan,less frequently,wood,public,,68,never,1792,large,7,5,23,19,1678
obese,female,pescatarian,twice a day,natural gas,public,,130,very frequently,1169,extra large,2,10,50,17,3015
underweight,male,omnivore,daily,electricity,public,,188,never,138,small,6,24,16,16,987
underweight,male,vegan,less frequently,wood,walk/bicycle,,241,never,25,extra large,2,3,21,10,928
overweight,female,vegetarian,twice a day,natural gas,public,,128,frequently,924,medium,7,16,5,0,1765
normal,female,omnivore,more frequently,natural gas,private,lpg,260,frequently,396,extra large,3,14,17,23,2044
obese,female,vegetarian,more frequently,natural gas,private,lpg,52,never,3583,large,5,20,47,14,2907
obese,female,omnivore,less frequently,coal,walk/bicycle,,160,very frequently,33,extra large,6,16,18,4,3252
underweight,male,vegetarian,less frequently,coal,public,,86,frequently,917,extra large,4,24,49,18,2806
overweight,male,omnivore,twice a day,natural gas,public,,201,frequently,881,large,3,1,42,19,2624
obese,male,vegan,daily,electricity,walk/bicycle,,240,frequently,52,large,4,24,13,23,1820
normal,male,vegetarian,twice a day,natural gas,walk/bicycle,,123,never,90,large,3,20,7,16,1095
overweight,male,vegan,more frequently,natural gas,walk/bicycle,,277,rarely,22,medium,3,8,24,0,1565
underweight,male,omnivore,less frequently,natural gas,private,electric,221,rarely,7132,large,1,2,43,16,1789
obese,male,pescatarian,twice a day,coal,private,petrol,86,frequently,2019,large,4,3,4,13,3514
underweight,female,omnivore,more frequently,coal,walk/bicycle,,260,frequently,80,small,3,11,8,15,1441
overweight,female,vegan,less frequently,wood,walk/bicycle,,293,frequently,55,medium,1,22,10,1,1248
overweight,female,vegan,more frequently,coal,walk/bicycle,,270,very frequently,89,large,2,15,1,15,2072
overweight,female,omnivore,twice a day,natural gas,public,,259,very frequently,986,small,4,8,26,2,2783
obese,male,pescatarian,more frequently,natural gas,walk/bicycle,,231,rarely,17,medium,7,4,14,11,1860
overweight,female,omnivore,twice a day,natural gas,walk/bicycle,,143,rarely,97,small,4,0,16,1,1143
normal,female,omnivore,twice a day,coal,public,,197,very frequently,1910,medium,7,9,4,8,2721
obese,female,omnivore,twice a day,natural gas,private,diesel,263,rarely,6969,small,4,8,38,7,3512
overweight,female,vegan,more frequently,natural gas,public,,262,very frequently,1205,extra large,7,10,27,1,3079
normal,male,pescatarian,more frequently,coal,public,,103,rarely,1537,extra large,5,0,1,18,1906
underweight,male,omnivore,daily,natural gas,public,,228,rarely,190,medium,2,12,2,6,1070
obese,female,pescatarian,less frequently,electricity,walk/bicycle,,152,rarely,21,small,5,7,15,6,1148
underweight,female,omnivore,daily,wood,walk/bicycle,,57,never,66,extra large,6,13,16,1,1381
obese,male,omnivore,daily,wood,walk/bicycle,,241,frequently,75,extra large,5,12,18,6,2495
underweight,female,vegetarian,daily,natural gas,private,electric,73,never,6251,medium,5,12,38,15,1304
underweight,female,vegan,twice a day,natural gas,public,,78,rarely,328,small,1,5,14,6,1001
overweight,female,omnivore,twice a day,natural gas,private,hybrid,120,rarely,2220,medium,2,11,45,7,1953
underweight,female,vegan,daily,electricity,walk/bicycle,,73,never,92,extra large,2,20,6,9,392
normal,female,pescatarian,less frequently,wood,public,,94,very frequently,1826,large,2,15,6,24,1943
obese,male,vegetarian,daily,electricity,public,,217,rarely,1183,extra large,3,24,45,16,2075
normal,female,pescatarian,twice a day,electricity,private,hybrid,102,frequently,2088,extra large,6,0,17,12,2082
underweight,male,vegetarian,daily,electricity,public,,99,very frequently,80,extra large,7,2,34,9,2737
underweight,male,omnivore,less frequently,coal,public,,90,never,1257,medium,7,2,20,6,1454
overweight,female,vegan,twice a day,wood,public,,247,never,726,large,6,5,43,0,1794
underweight,male,omnivore,more frequently,natural gas,public,,86,very frequently,1824,medium,1,23,42,13,2667
obese,male,vegan,less frequently,coal,private,electric,245,frequently,9401,extra large,4,5,26,14,2988
normal,female,omnivore,less frequently,electricity,private,diesel,274,frequently,6352,extra large,5,16,6,21,3278
overweight,male,pescatarian,less frequently,electricity,public,,273,rarely,1463,medium,1,14,31,5,1250
normal,male,omnivore,less frequently,wood,private,hybrid,76,rarely,9182,small,5,0,8,1,2559
underweight,female,omnivore,twice a day,electricity,walk/bicycle,,153,never,67,medium,1,23,15,21,531
normal,male,omnivore,daily,coal,private,hybrid,114,rarely,5047,small,2,10,31,21,2617
normal,female,pescatarian,more frequently,coal,public,,135,frequently,1578,small,5,18,23,13,2115
overweight,male,omnivore,less frequently,electricity,walk/bicycle,,298,rarely,8,small,4,10,29,15,1439
overweight,male,pescatarian,more frequently,coal,public,,185,never,838,large,6,7,31,17,2096
overweight,female,pescatarian,more frequently,coal,public,,192,rarely,406,small,2,7,29,0,1368
overweight,female,vegan,daily,coal,public,,88,frequently,925,large,7,13,43,1,2746
underweight,female,pescatarian,more frequently,electricity,walk/bicycle,,260,very frequently,33,small,4,1,35,15,2240
overweight,female,vegetarian,twice a day,electricity,public,,182,never,1275,medium,3,22,41,4,1141
normal,female,vegan,daily,natural gas,private,petrol,215,very frequently,6930,small,1,18,9,24,4298
underweight,female,omnivore,more frequently,wood,walk/bicycle,,150,never,25,extra large,4,24,12,13,1037
overweight,female,pescatarian,less frequently,coal,walk/bicycle,,281,very frequently,65,medium,2,16,36,24,2940
obese,male,vegetarian,daily,electricity,walk/bicycle,,159,never,45,small,7,19,23,24,1428
normal,male,omnivore,less frequently,electricity,walk/bicycle,,210,never,76,medium,6,21,33,21,1591
overweight,male,vegetarian,twice a day,electricity,public,,287,very frequently,1136,medium,2,2,41,1,2649
underweight,female,pescatarian,more frequently,natural gas,private,hybrid,291,never,7614,large,7,22,40,16,2949
normal,female,vegetarian,daily,natural gas,private,diesel,69,frequently,3278,medium,3,24,12,16,2270
normal,female,pescatarian,less frequently,wood,public,,246,very frequently,539,extra large,2,20,6,3,2291
underweight,female,vegetarian,less frequently,wood,public,,261,rarely,135,medium,7,18,10,5,1332
normal,female,vegetarian,more frequently,electricity,walk/bicycle,,234,rarely,5,large,3,3,24,22,1273
overweight,male,omnivore,more frequently,natural gas,public,,281,very frequently,1539,small,3,17,45,14,3430
normal,female,pescatarian,less frequently,electricity,walk/bicycle,,184,never,91,small,5,19,48,23,1365
normal,male,vegetarian,less frequently,electricity,walk/bicycle,,262,very frequently,21,extra large,3,10,43,19,2522
normal,male,pescatarian,less frequently,natural gas,walk/bicycle,,271,never,53,small,1,5,50,9,1242
overweight,male,pescatarian,daily,natural gas,public,,237,rarely,643,medium,4,2,30,22,1695
normal,female,pescatarian,more frequently,natural gas,private,electric,158,frequently,5406,small,7,14,24,20,1768
overweight,female,pescatarian,daily,wood,private,hybrid,142,never,162,extra large,3,15,41,24,1706
underweight,male,omnivore,more frequently,wood,public,,201,very frequently,325,large,2,19,32,14,2653
underweight,female,omnivore,more frequently,coal,walk/bicycle,,50,never,36,medium,7,1,21,2,1015
obese,female,pescatarian,more frequently,electricity,public,,142,rarely,710,medium,3,10,37,15,1318
underweight,female,vegan,daily,electricity,private,diesel,166,never,4012,large,7,5,9,10,1843
overweight,male,vegetarian,daily,wood,public,,199,frequently,1686,extra large,1,4,41,6,2369
underweight,male,vegan,twice a day,natural gas,private,lpg,163,very frequently,4850,extra large,1,1,43,19,4099
underweight,male,vegan,daily,coal,private,diesel,267,very frequently,3448,medium,2,22,41,7,3621
normal,male,omnivore,daily,electricity,private,lpg,258,very frequently,308,large,4,19,6,22,2490
obese,male,omnivore,more frequently,natural gas,private,lpg,197,rarely,1562,extra large,2,18,31,8,2608
obese,male,vegetarian,daily,wood,walk/bicycle,,143,rarely,43,extra large,3,5,49,1,1988
overweight,male,pescatarian,more frequently,wood,walk/bicycle,,162,frequently,42,large,5,5,21,9,2165
overweight,male,vegetarian,twice a day,wood,private,electric,54,very frequently,1218,small,1,14,46,10,2591
obese,male,omnivore,more frequently,coal,walk/bicycle,,95,never,75,large,7,15,25,19,2445
underweight,male,omnivore,twice a day,coal,private,electric,283,very frequently,2534,small,3,2,14,6,2659
overweight,female,vegetarian,daily,natural gas,walk/bicycle,,104,frequently,10,medium,7,11,41,17,2052
overweight,male,pescatarian,less frequently,electricity,private,lpg,167,rarely,8537,large,1,7,22,4,3533
obese,female,pescatarian,daily,wood,public,,94,frequently,1201,large,4,19,35,0,2034
overweight,male,vegetarian,daily,electricity,private,petrol,211,very frequently,5879,extra large,5,14,45,6,5354
normal,female,vegetarian,less frequently,electricity,walk/bicycle,,149,very frequently,27,extra large,4,22,34,8,2484
normal,male,omnivore,less frequently,natural gas,public,,223,very frequently,750,medium,3,9,27,22,2924
normal,male,vegan,daily,electricity,public,,90,never,861,large,5,17,18,13,1350
obese,male,omnivore,more frequently,wood,private,diesel,193,very frequently,2634,medium,4,16,18,1,3893
obese,female,vegetarian,daily,coal,private,hybrid,190,rarely,7997,medium,1,15,15,16,2706
obese,female,pescatarian,twice a day,wood,public,,57,never,1910,small,4,9,43,8,1586
normal,female,omnivore,twice a day,coal,walk/bicycle,,52,never,1,large,3,14,48,11,1511
underweight,male,omnivore,less frequently,wood,public,,165,very frequently,368,large,4,13,9,3,2317
underweight,male,omnivore,less frequently,natural gas,walk/bicycle,,98,very frequently,43,medium,5,11,18,7,2300
underweight,male,vegetarian,more frequently,coal,private,hybrid,261,never,7929,small,7,13,18,0,2665
underweight,female,vegan,less frequently,electricity,private,petrol,178,never,4758,medium,4,9,49,22,2380
